survived,pclass,sex,age,sibsp,parch,fare,embarked
1,1st,female,29,0,0,211.337494,Southampton
1,1st,male,0.916700006,1,2,151.550003,Southampton
0,1st,female,2,1,2,151.550003,Southampton
0,1st,male,30,1,2,151.550003,Southampton
0,1st,female,25,1,2,151.550003,Southampton
1,1st,male,48,0,0,26.5499992,Southampton
1,1st,female,63,1,0,77.9582977,Southampton
0,1st,male,39,0,0,0,Southampton
1,1st,female,53,2,0,51.4791985,Southampton
0,1st,male,71,0,0,49.5042,Cherbourg
0,1st,male,47,1,0,227.524994,Cherbourg
1,1st,female,18,1,0,227.524994,Cherbourg
1,1st,female,24,0,0,69.3000031,Cherbourg
1,1st,female,26,0,0,78.8499985,Southampton
1,1st,male,80,0,0,30,Southampton
0,1st,male,NA,0,0,25.9249992,Southampton
0,1st,male,24,0,1,247.520798,Cherbourg
1,1st,female,50,0,1,247.520798,Cherbourg
1,1st,female,32,0,0,76.2917023,Cherbourg
0,1st,male,36,0,0,75.2416992,Cherbourg
1,1st,male,37,1,1,52.5541992,Southampton
1,1st,female,47,1,1,52.5541992,Southampton
1,1st,male,26,0,0,30,Cherbourg
1,1st,female,42,0,0,227.524994,Cherbourg
1,1st,female,29,0,0,221.779205,Southampton
0,1st,male,25,0,0,26,Cherbourg
1,1st,male,25,1,0,91.0792007,Cherbourg
1,1st,female,19,1,0,91.0792007,Cherbourg
1,1st,female,35,0,0,135.633301,Southampton
1,1st,male,28,0,0,26.5499992,Southampton
0,1st,male,45,0,0,35.5,Southampton
1,1st,male,40,0,0,31,Cherbourg
1,1st,female,30,0,0,164.866699,Southampton
1,1st,female,58,0,0,26.5499992,Southampton
0,1st,male,42,0,0,26.5499992,Southampton
1,1st,female,45,0,0,262.375,Cherbourg
1,1st,female,22,0,1,55,Southampton
1,1st,male,NA,0,0,26.5499992,Southampton
0,1st,male,41,0,0,30.5,Southampton
0,1st,male,48,0,0,50.4958,Cherbourg
0,1st,male,NA,0,0,39.5999985,Cherbourg
1,1st,female,44,0,0,27.7208004,Cherbourg
1,1st,female,59,2,0,51.4791985,Southampton
1,1st,female,60,0,0,76.2917023,Cherbourg
1,1st,female,41,0,0,134.5,Cherbourg
0,1st,male,45,0,0,26.5499992,Southampton
0,1st,male,NA,0,0,31,Southampton
1,1st,male,42,0,0,26.2875004,Southampton
1,1st,female,53,0,0,27.4458008,Cherbourg
1,1st,male,36,0,1,512.329224,Cherbourg
1,1st,female,58,0,1,512.329224,Cherbourg
0,1st,male,33,0,0,5,Southampton
0,1st,male,28,0,0,47.0999985,Southampton
0,1st,male,17,0,0,47.0999985,Southampton
1,1st,male,11,1,2,120,Southampton
1,1st,female,14,1,2,120,Southampton
1,1st,male,36,1,2,120,Southampton
1,1st,female,36,1,2,120,Southampton
0,1st,male,49,0,0,26,Southampton
1,1st,female,NA,0,0,27.7208004,Cherbourg
0,1st,male,36,1,0,78.8499985,Southampton
1,1st,female,76,1,0,78.8499985,Southampton
0,1st,male,46,1,0,61.1749992,Southampton
1,1st,female,47,1,0,61.1749992,Southampton
1,1st,male,27,1,0,53.0999985,Southampton
1,1st,female,33,1,0,53.0999985,Southampton
1,1st,female,36,0,0,262.375,Cherbourg
1,1st,female,30,0,0,86.5,Southampton
1,1st,male,45,0,0,29.7000008,Cherbourg
1,1st,female,NA,0,1,55,Southampton
0,1st,male,NA,0,0,0,Southampton
0,1st,male,27,1,0,136.779205,Cherbourg
1,1st,female,26,1,0,136.779205,Cherbourg
1,1st,female,22,0,0,151.550003,Southampton
0,1st,male,NA,0,0,52,Southampton
0,1st,male,47,0,0,25.5874996,Southampton
1,1st,female,39,1,1,83.1583023,Cherbourg
0,1st,male,37,1,1,83.1583023,Cherbourg
1,1st,female,64,0,2,83.1583023,Cherbourg
1,1st,female,55,2,0,25.7000008,Southampton
0,1st,male,NA,0,0,26.5499992,Southampton
0,1st,male,70,1,1,71,Southampton
1,1st,female,36,0,2,71,Southampton
1,1st,female,64,1,1,26.5499992,Southampton
0,1st,male,39,1,0,71.2833023,Cherbourg
1,1st,female,38,1,0,71.2833023,Cherbourg
1,1st,male,51,0,0,26.5499992,Southampton
1,1st,male,27,0,0,30.5,Southampton
1,1st,female,33,0,0,151.550003,Southampton
0,1st,male,31,1,0,52,Southampton
1,1st,female,27,1,2,52,Southampton
1,1st,male,31,1,0,57,Southampton
1,1st,female,17,1,0,57,Southampton
1,1st,male,53,1,1,81.8582993,Southampton
1,1st,male,4,0,2,81.8582993,Southampton
1,1st,female,54,1,1,81.8582993,Southampton
0,1st,male,50,1,0,106.425003,Cherbourg
1,1st,female,27,1,1,247.520798,Cherbourg
1,1st,female,48,1,0,106.425003,Cherbourg
1,1st,female,48,1,0,39.5999985,Cherbourg
1,1st,male,49,1,0,56.9291992,Cherbourg
0,1st,male,39,0,0,29.7000008,Cherbourg
1,1st,female,23,0,1,83.1583023,Cherbourg
1,1st,female,38,0,0,227.524994,Cherbourg
1,1st,female,54,1,0,78.2667007,Cherbourg
0,1st,female,36,0,0,31.6791992,Cherbourg
0,1st,male,NA,0,0,221.779205,Southampton
1,1st,female,NA,0,0,31.6833,Southampton
1,1st,female,NA,0,0,110.883301,Cherbourg
1,1st,male,36,0,0,26.3875008,Southampton
0,1st,male,30,0,0,27.75,Cherbourg
1,1st,female,24,3,2,263,Southampton
1,1st,female,28,3,2,263,Southampton
1,1st,female,23,3,2,263,Southampton
0,1st,male,19,3,2,263,Southampton
0,1st,male,64,1,4,263,Southampton
1,1st,female,60,1,4,263,Southampton
1,1st,female,30,0,0,56.9291992,Cherbourg
