State	Year-Quarter	Average Price	Median Price
US	2000.00	151780	125839
US	2000.25	156640	129682
US	2000.50	159992	132229
US	2000.75	162280	133976
US	2001.00	165042	136041
US	2001.25	169103	139396
US	2001.50	172401	142066
US	2001.75	173836	143273
US	2002.00	176125	145167
US	2002.25	181932	149971
US	2002.50	186200	153684
US	2002.75	188517	156064
US	2003.00	190666	158276
US	2003.25	195968	162913
US	2003.50	200897	167241
US	2003.75	204227	170483
US	2004.00	207787	173706
US	2004.25	216736	181368
US	2004.50	223330	187454
US	2004.75	228014	191738
US	2005.00	233540	196792
US	2005.25	243226	205493
US	2005.50	251246	212611
US	2005.75	255357	216396
US	2006.00	258060	218853
US	2006.25	263336	223234
US	2006.50	264185	223897
US	2006.75	262391	222314
US	2007.00	260655	220729
US	2007.25	261131	220901
US	2007.50	257231	217340
US	2007.75	248203	209444
US	2008.00	239418	201688
US	2008.25	235779	198428
US	2008.50	229532	193009
US	2008.75	218349	183464
US	2009.00	211055	177236
US	2009.25	212347	178376
US	2009.50	213983	179773
US	2009.75	212810	178813
US	2010.00	208507	175150
US	2010.25	214594	180176
AK	2000.00	159887	148406
AK	2000.25	166115	153989
AK	2000.50	166536	154215
AK	2000.75	165892	153208
AK	2001.00	168500	155637
AK	2001.25	173264	159871
AK	2001.50	175048	161249
AK	2001.75	177433	163249
AK	2002.00	175754	161283
AK	2002.25	181469	166536
AK	2002.50	184992	169376
AK	2002.75	185335	169719
AK	2003.00	189930	173874
AK	2003.25	191422	174999
AK	2003.50	194297	177637
AK	2003.75	197648	180618
AK	2004.00	201036	183544
AK	2004.25	208921	190242
AK	2004.50	212760	193471
AK	2004.75	215168	195223
AK	2005.00	223116	201983
AK	2005.25	230912	209140
AK	2005.50	239020	216474
AK	2005.75	240658	218128
AK	2006.00	244673	221543
AK	2006.25	253254	229771
AK	2006.50	257890	234228
AK	2006.75	257267	233691
AK	2007.00	255539	232378
AK	2007.25	266963	242723
AK	2007.50	265348	241502
AK	2007.75	261806	238102
AK	2008.00	255563	232344
AK	2008.25	262607	238788
AK	2008.50	264579	240408
AK	2008.75	255108	231877
AK	2009.00	263611	240012
AK	2009.25	263559	240542
AK	2009.50	258839	236633
AK	2009.75	258650	236921
AK	2010.00	253296	232280
AK	2010.25	263931	241750
AL	2000.00	112059	95800
AL	2000.25	113114	96711
AL	2000.50	113934	97330
AL	2000.75	114645	97757
AL	2001.00	115667	98615
AL	2001.25	117095	99973
AL	2001.50	117692	100372
AL	2001.75	118598	100980
AL	2002.00	119181	101424
AL	2002.25	120692	102659
AL	2002.50	122459	104145
AL	2002.75	123770	105227
AL	2003.00	125190	106260
AL	2003.25	126787	107473
AL	2003.50	129213	109365
AL	2003.75	129937	109838
AL	2004.00	130044	109873
AL	2004.25	133034	112193
AL	2004.50	136217	114711
AL	2004.75	138186	116313
AL	2005.00	140834	118309
AL	2005.25	144961	121646
AL	2005.50	147957	124018
AL	2005.75	151382	126962
AL	2006.00	155206	130112
AL	2006.25	159045	133237
AL	2006.50	160028	133947
AL	2006.75	160952	134610
AL	2007.00	161963	135430
AL	2007.25	163890	136979
AL	2007.50	163822	136877
AL	2007.75	161288	134748
AL	2008.00	160548	134181
AL	2008.25	161279	134868
AL	2008.50	159344	133276
AL	2008.75	155396	130043
AL	2009.00	153833	128671
AL	2009.25	157640	131862
AL	2009.50	156953	131482
AL	2009.75	155248	130176
AL	2010.00	150343	126515
AL	2010.25	153099	128969
AR	2000.00	90979	78522
AR	2000.25	93186	80344
AR	2000.50	92914	79967
AR	2000.75	94746	81400
AR	2001.00	95404	81758
AR	2001.25	97110	83222
AR	2001.50	98921	84697
AR	2001.75	99591	85214
AR	2002.00	101069	86337
AR	2002.25	102273	87240
AR	2002.50	104539	89150
AR	2002.75	104992	89419
AR	2003.00	107365	91427
AR	2003.25	108116	92147
AR	2003.50	110615	94125
AR	2003.75	110787	94225
AR	2004.00	113078	95914
AR	2004.25	115625	97912
AR	2004.50	117440	99408
AR	2004.75	119321	100952
AR	2005.00	122707	103854
AR	2005.25	124204	105146
AR	2005.50	127871	108296
AR	2005.75	129984	110116
AR	2006.00	131260	111259
AR	2006.25	134196	113705
AR	2006.50	135559	114829
AR	2006.75	136320	115385
AR	2007.00	137348	116286
AR	2007.25	139138	117858
AR	2007.50	139900	118435
AR	2007.75	137959	116865
AR	2008.00	137698	116835
AR	2008.25	138212	117296
AR	2008.50	138416	117772
AR	2008.75	134136	114214
AR	2009.00	133810	114314
AR	2009.25	136375	116962
AR	2009.50	138435	119079
AR	2009.75	137123	118260
AR	2010.00	134990	116762
AR	2010.25	139124	120560
AZ	2000.00	214913	124371
AZ	2000.25	224380	126866
AZ	2000.50	226709	128346
AZ	2000.75	223957	129577
AZ	2001.00	224887	130653
AZ	2001.25	225150	133381
AZ	2001.50	224610	134698
AZ	2001.75	223111	135843
AZ	2002.00	220568	136891
AZ	2002.25	222979	139521
AZ	2002.50	223622	141045
AZ	2002.75	222823	142587
AZ	2003.00	213908	144509
AZ	2003.25	215830	147422
AZ	2003.50	212945	149961
AZ	2003.75	216347	153006
AZ	2004.00	218421	156936
AZ	2004.25	225786	163014
AZ	2004.50	228970	171286
AZ	2004.75	240272	181057
AZ	2005.00	253410	193635
AZ	2005.25	268264	212106
AZ	2005.50	290436	230462
AZ	2005.75	298443	240730
AZ	2006.00	304766	248211
AZ	2006.25	312687	254590
AZ	2006.50	312950	254655
AZ	2006.75	310911	252727
AZ	2007.00	307416	249599
AZ	2007.25	303337	245917
AZ	2007.50	292675	236841
AZ	2007.75	277359	224075
AZ	2008.00	262182	211527
AZ	2008.25	247428	199707
AZ	2008.50	228897	185361
AZ	2008.75	206388	167384
AZ	2009.00	188271	153018
AZ	2009.25	185037	150651
AZ	2009.50	184431	150003
AZ	2009.75	184690	150065
AZ	2010.00	180163	145994
AZ	2010.25	182553	147669
CA	2000.00	276912	211595
CA	2000.25	290722	223084
CA	2000.50	300271	229931
CA	2000.75	309806	237466
CA	2001.00	318995	244646
CA	2001.25	325325	249987
CA	2001.50	330684	254421
CA	2001.75	330703	255572
CA	2002.00	339346	262824
CA	2002.25	357356	277744
CA	2002.50	369879	289038
CA	2002.75	374748	296140
CA	2003.00	379330	303065
CA	2003.25	394507	317058
CA	2003.50	411213	332306
CA	2003.75	423961	347305
CA	2004.00	443938	366422
CA	2004.25	475132	395096
CA	2004.50	497120	418315
CA	2004.75	510719	433090
CA	2005.00	529718	452599
CA	2005.25	556851	479196
CA	2005.50	579640	501917
CA	2005.75	589416	512649
CA	2006.00	596236	519231
CA	2006.25	603563	525761
CA	2006.50	599305	522192
CA	2006.75	588585	512842
CA	2007.00	578003	503230
CA	2007.25	569466	494765
CA	2007.50	548889	475656
CA	2007.75	512118	442517
CA	2008.00	471624	405886
CA	2008.25	448527	384753
CA	2008.50	422404	361489
CA	2008.75	391248	333896
CA	2009.00	365775	311624
CA	2009.25	365711	310985
CA	2009.50	375271	318326
CA	2009.75	379222	321117
CA	2010.00	378054	319578
CA	2010.25	391609	330037
CO	2000.00	190942	163616
CO	2000.25	198368	169611
CO	2000.50	204332	174371
CO	2000.75	210160	178347
CO	2001.00	221643	183643
CO	2001.25	226641	187295
CO	2001.50	231101	190554
CO	2001.75	233334	190689
CO	2002.00	236851	192898
CO	2002.25	241548	196477
CO	2002.50	243229	197892
CO	2002.75	243671	198158
CO	2003.00	244913	198887
CO	2003.25	246934	200440
CO	2003.50	248362	201568
CO	2003.75	250304	202632
CO	2004.00	251612	203287
CO	2004.25	257590	207122
CO	2004.50	261198	209025
CO	2004.75	264385	210735
CO	2005.00	268028	213186
CO	2005.25	275251	218286
CO	2005.50	278998	220478
CO	2005.75	282731	222640
CO	2006.00	279350	223424
CO	2006.25	286413	228039
CO	2006.50	289508	230041
CO	2006.75	286119	228211
CO	2007.00	283502	226029
CO	2007.25	289899	230631
CO	2007.50	288748	229393
CO	2007.75	280208	222413
CO	2008.00	275143	217986
CO	2008.25	277908	220060
CO	2008.50	274087	216946
CO	2008.75	262924	208578
CO	2009.00	260835	206775
CO	2009.25	266450	212434
CO	2009.50	267654	214867
CO	2009.75	265297	214022
CO	2010.00	260061	210270
CO	2010.25	267924	217558
CT	2000.00	222994	177600
CT	2000.25	232693	184460
CT	2000.50	238864	188702
CT	2000.75	242567	191128
CT	2001.00	244284	191731
CT	2001.25	254905	199589
CT	2001.50	260897	203895
CT	2001.75	264019	205979
CT	2002.00	265029	206535
CT	2002.25	278559	216835
CT	2002.50	287216	223295
CT	2002.75	293292	228083
CT	2003.00	295721	229696
CT	2003.25	306402	237997
CT	2003.50	315952	245492
CT	2003.75	321788	249716
CT	2004.00	326995	253119
CT	2004.25	344673	266383
CT	2004.50	356236	275526
CT	2004.75	362148	280361
CT	2005.00	368197	285928
CT	2005.25	384250	299054
CT	2005.50	395439	308286
CT	2005.75	399880	312157
CT	2006.00	399128	312162
CT	2006.25	406989	318130
CT	2006.50	405356	317297
CT	2006.75	403125	315864
CT	2007.00	399419	312416
CT	2007.25	400642	312995
CT	2007.50	401470	312818
CT	2007.75	391806	304527
CT	2008.00	375896	292013
CT	2008.25	374911	291214
CT	2008.50	372316	288765
CT	2008.75	351633	273324
CT	2009.00	335496	261498
CT	2009.25	338600	264642
CT	2009.50	344310	269084
CT	2009.75	343948	269108
CT	2010.00	326239	255298
CT	2010.25	341436	266845
DC	2000.00	207696	157089
DC	2000.25	224523	168031
DC	2000.50	231585	171273
DC	2000.75	235474	172586
DC	2001.00	238373	172733
DC	2001.25	259930	185591
DC	2001.50	276665	194994
DC	2001.75	288640	201233
DC	2002.00	294188	202531
DC	2002.25	316598	217371
DC	2002.50	326902	224497
DC	2002.75	332921	228904
DC	2003.00	339415	233615
DC	2003.25	356384	245428
DC	2003.50	372072	256332
DC	2003.75	379685	261684
DC	2004.00	377444	261677
DC	2004.25	394955	275692
DC	2004.50	410597	288600
DC	2004.75	443075	311648
DC	2005.00	444610	318140
DC	2005.25	461242	333148
DC	2005.50	470168	343910
DC	2005.75	472801	348629
DC	2006.00	476376	355898
DC	2006.25	519688	393050
DC	2006.50	534748	409645
DC	2006.75	537740	415024
DC	2007.00	539249	419726
DC	2007.25	522441	409835
DC	2007.50	534480	421280
DC	2007.75	518776	409345
DC	2008.00	513559	407150
DC	2008.25	504035	401173
DC	2008.50	496906	396890
DC	2008.75	479640	382978
DC	2009.00	468019	372519
DC	2009.25	485239	387887
DC	2009.50	491199	392080
DC	2009.75	482381	386352
DC	2010.00	475001	379016
DC	2010.25	506654	404380
DE	2000.00	151961	136614
DE	2000.25	155302	139155
DE	2000.50	158733	142120
DE	2000.75	164238	146591
DE	2001.00	165672	147554
DE	2001.25	168087	149023
DE	2001.50	171656	151665
DE	2001.75	176754	155650
DE	2002.00	178957	157275
DE	2002.25	184828	162152
DE	2002.50	193184	168761
DE	2002.75	195027	169905
DE	2003.00	199070	173078
DE	2003.25	204747	177839
DE	2003.50	210306	182071
DE	2003.75	219594	189406
DE	2004.00	225558	193058
DE	2004.25	234741	200448
DE	2004.50	246142	209603
DE	2004.75	253165	215208
DE	2005.00	256786	218020
DE	2005.25	270860	230291
DE	2005.50	280466	238631
DE	2005.75	290671	247461
DE	2006.00	293790	250061
DE	2006.25	297254	253541
DE	2006.50	302427	258431
DE	2006.75	301701	258328
DE	2007.00	294958	252952
DE	2007.25	298481	256396
DE	2007.50	293955	253163
DE	2007.75	289797	249970
DE	2008.00	281409	242811
DE	2008.25	275891	237922
DE	2008.50	272102	235186
DE	2008.75	263297	228027
DE	2009.00	254868	221584
DE	2009.25	259306	226222
DE	2009.50	252928	221198
DE	2009.75	255617	223761
DE	2010.00	240480	210901
DE	2010.25	247793	216902
FL	2000.00	132020	104326
FL	2000.25	135866	106929
FL	2000.50	139053	108968
FL	2000.75	142416	111097
FL	2001.00	146083	113448
FL	2001.25	150482	116492
FL	2001.50	154795	119586
FL	2001.75	158129	122195
FL	2002.00	161500	124770
FL	2002.25	166484	128958
FL	2002.50	170773	132771
FL	2002.75	175160	136228
FL	2003.00	179434	139718
FL	2003.25	185168	144363
FL	2003.50	190944	148896
FL	2003.75	197261	153905
FL	2004.00	204502	159566
FL	2004.25	215532	168297
FL	2004.50	227865	178057
FL	2004.75	239228	187448
FL	2005.00	253079	198783
FL	2005.25	271441	213817
FL	2005.50	288508	228067
FL	2005.75	300390	238361
FL	2006.00	307256	244583
FL	2006.25	312639	249393
FL	2006.50	312078	249360
FL	2006.75	308050	246497
FL	2007.00	303518	242906
FL	2007.25	297337	238489
FL	2007.50	282990	227166
FL	2007.75	267614	214618
FL	2008.00	250687	200877
FL	2008.25	236806	189446
FL	2008.50	223340	178351
FL	2008.75	206579	164830
FL	2009.00	191931	153065
FL	2009.25	186466	148494
FL	2009.50	186251	148008
FL	2009.75	186080	147378
FL	2010.00	180836	142743
FL	2010.25	183843	144501
GA	2000.00	140236	120579
GA	2000.25	143649	123226
GA	2000.50	145857	124845
GA	2000.75	147738	126016
GA	2001.00	150112	127799
GA	2001.25	153089	130133
GA	2001.50	154916	131385
GA	2001.75	156868	132715
GA	2002.00	158345	133518
GA	2002.25	161092	135521
GA	2002.50	163092	136848
GA	2002.75	164691	137914
GA	2003.00	166166	138831
GA	2003.25	167693	139987
GA	2003.50	169779	141588
GA	2003.75	170527	142119
GA	2004.00	172031	142973
GA	2004.25	174895	145055
GA	2004.50	177540	146995
GA	2004.75	179614	148470
GA	2005.00	182571	150829
GA	2005.25	185374	153013
GA	2005.50	188531	155395
GA	2005.75	190553	157151
GA	2006.00	191399	157533
GA	2006.25	195244	160246
GA	2006.50	195440	160334
GA	2006.75	195871	160538
GA	2007.00	195748	160456
GA	2007.25	195380	159928
GA	2007.50	192574	157717
GA	2007.75	188138	153925
GA	2008.00	184057	150369
GA	2008.25	181497	148049
GA	2008.50	175575	143082
GA	2008.75	167984	136598
GA	2009.00	162949	132359
GA	2009.25	162666	132044
GA	2009.50	161807	131366
GA	2009.75	158201	128434
GA	2010.00	154968	125626
GA	2010.25	159657	129446
HI	2000.00	293415	241379
HI	2000.25	302533	247629
HI	2000.50	307831	249905
HI	2000.75	311570	252001
HI	2001.00	321125	257853
HI	2001.25	328735	263198
HI	2001.50	333721	267141
HI	2001.75	341364	272457
HI	2002.00	346514	275703
HI	2002.25	362982	288003
HI	2002.50	377717	300370
HI	2002.75	380847	305817
HI	2003.00	394958	317582
HI	2003.25	401151	328551
HI	2003.50	417467	342503
HI	2003.75	442726	363538
HI	2004.00	463796	380670
HI	2004.25	489103	403298
HI	2004.50	522906	431711
HI	2004.75	536827	445867
HI	2005.00	558521	466551
HI	2005.25	598943	502338
HI	2005.50	630171	530527
HI	2005.75	640369	541487
HI	2006.00	648315	550058
HI	2006.25	674123	571578
HI	2006.50	680352	576085
HI	2006.75	688539	581690
HI	2007.00	692564	584871
HI	2007.25	700011	591704
HI	2007.50	696546	587686
HI	2007.75	675358	570409
HI	2008.00	663168	559304
HI	2008.25	671326	565998
HI	2008.50	651846	547782
HI	2008.75	629959	530113
HI	2009.00	615073	519127
HI	2009.25	593203	501318
HI	2009.50	602755	512032
HI	2009.75	593683	505283
HI	2010.00	596863	508661
HI	2010.25	587760	499837
IA	2000.00	102435	89147
IA	2000.25	104684	91055
IA	2000.50	106594	92664
IA	2000.75	105648	91774
IA	2001.00	106658	92626
IA	2001.25	109177	94831
IA	2001.50	110050	95569
IA	2001.75	110683	96088
IA	2002.00	110320	95689
IA	2002.25	113284	98251
IA	2002.50	114685	99336
IA	2002.75	115041	99646
IA	2003.00	115668	100042
IA	2003.25	117302	101393
IA	2003.50	118255	102102
IA	2003.75	118677	102357
IA	2004.00	118876	102477
IA	2004.25	122117	105140
IA	2004.50	123526	106200
IA	2004.75	125046	107372
IA	2005.00	124818	107195
IA	2005.25	128477	110242
IA	2005.50	129380	110887
IA	2005.75	129888	111197
IA	2006.00	131072	112018
IA	2006.25	133171	113469
IA	2006.50	133845	113797
IA	2006.75	132702	112635
IA	2007.00	132163	112016
IA	2007.25	134769	114125
IA	2007.50	136126	115277
IA	2007.75	133720	112968
IA	2008.00	132472	111849
IA	2008.25	134917	113891
IA	2008.50	135822	114722
IA	2008.75	134697	113823
IA	2009.00	131285	110648
IA	2009.25	135399	114185
IA	2009.50	138030	116506
IA	2009.75	137433	115966
IA	2010.00	135523	114494
IA	2010.25	139543	118036
ID	2000.00	111286	97004
ID	2000.25	112847	98475
ID	2000.50	113897	99200
ID	2000.75	114537	99620
ID	2001.00	117481	102027
ID	2001.25	119483	103691
ID	2001.50	120964	104780
ID	2001.75	120158	103905
ID	2002.00	120441	104033
ID	2002.25	124575	107351
ID	2002.50	125313	107827
ID	2002.75	125989	108224
ID	2003.00	128169	109871
ID	2003.25	130786	111852
ID	2003.50	134537	114857
ID	2003.75	135724	115783
ID	2004.00	135372	115404
ID	2004.25	143905	122318
ID	2004.50	148906	126213
ID	2004.75	150619	127474
ID	2005.00	155878	131763
ID	2005.25	164272	138546
ID	2005.50	176421	148473
ID	2005.75	180942	152047
ID	2006.00	188861	158610
ID	2006.25	198346	166198
ID	2006.50	202144	169202
