	1. Crop Production	2. Animal Production	3. Forestry and Logging	"4. Fishing, Hunting, and Trapping"	5. Mining	6. Electric Utilities	7. Gas Utilities	8. Other Utilities	9. Construction	"10. Food, Beverage and Tobacco Manufacturing"	11. Textiles and Apparel Mills	12. Wood Product Manufacturing	13. Paper Manufacturing	14. Printing and Related Activities	15. Petroleum and Coal Products Manufacturing	16. Chemical Manufacturing	17. Nonmetallic Mineral Products Manufacturing	18. Primary Metal Manufacturing	19. Fabricated Metals Manufacturing	20. Machinery Manufacturing	21. Computer and Electronic Product Manufacturing	22. Electrical Equipment Manufacturing	23. Aircraft and Parts Manufacturing	24. Ship and Boat Building 	25. Other Transportation Equipment Manufacturing	26. Furniture Product Manufacturing	27. Other Manufacturing	28. Wholesale	29. Retail	30. Air Transportation	31. Water Transportation	32. Truck Transportation	33. Other Transportation/Postal Offices	"34. Support Activities for Storage, Transportation and Warehousing "	35. Software Publishers & Internet Service Providers	36. Telecommunications	37. Other Information	38. Credit Intermediation and Related Activities	39. Other Finance and Insurance	40. Real Estate and Rental and Leasing	41. Legal /Accounting and Bookkeeping /Management Services	"42.  Architectural, Engineering, and Computing Services"	43. Educational Services	44. Ambulatory Health Care Services	45. Hospitals	"46. Nursing and Residential Care Facilities, Social Assistance"	"47. Arts, Recreation, and Accommodation"	48. Food Services and Drinking Places	49. Administrative/Employment Support Services	"50. Waste Management/Other, and Agriculture Services"	TOTAL OUTPUT
1. Crop Production	169.5	124.6	0.1	0.9	0.7	0	0	0	50.7	503.6	6.2	2.5	0	0	0	6.2	0	0	0	0	0	0	0	0	0	0	0.3	0.9	20.7	0	0	0	0	0	0	0	0	0	0	11.1	0.2	3.3	0.9	0	0.1	0.1	1.1	9.9	2.4	6.3	4192.2
2. Animal Production	5.8	123.4	1.1	0	0	0	0	0	0	691	0.8	0		0	0	0	0	0	0	0	0	0	0		0	0	0	2.1	0.9	0	0	0	0	0.2	0	0	0	0	0	0	0	1.3	0.5	0	0	0	0.9	3.7	0	6.1	1396.5
3. Forestry and Logging	0	0	142.4	0		0	0		0	2.7	0	478.8	20	0.1	0	0.6	0	0	0	0		0	0		0	0.3	5.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	1144.7
"4. Fishing, Hunting, and Trapping"	0	0	0	0		0	0			95.5	0	0	0	0	0	0.3	0	0	0	0	0	0	1.2	0	0	0	0	0	15.7	0	0.2	0	0	0	0	0	0	0	0	0	0	0.2	1.5	0	0.5	1.1	4.8	67.1	0	3.1	1188.1
5. Mining	0.5	0.1	0	0	0.8	124.8	14.2	0.1	59	0.2	0	0	0.5	0	2.7	1.1	2.5	1.5	0	0	0	0	0	0	0.2	0	0	0.1	0.1	0	0	0	1.1	0	0.1	0.1	0.1	0	0	0.1	0	0.2	0	0.1	0	0.1	0.1	0.1	0	0.2	602.7
6. Electric Utilities	86.3	21	0.3	0.8	10.5	1773	0.4	2.9	96	110.7	8.4	51.1	97	11.4	56.6	68.4	36.9	45	25.3	12.6	37.8	6.5	13.8	6.8	20	6.1	43	93.7	337.5	3.2	8.4	8.8	22.6	30.5	44.2	37.2	21.5	15.9	17.9	230.6	45.6	31.7	62.4	38	67.5	51	93.3	153.2	21.2	145	8499.8
7. Gas Utilities	10.7	2.2	0	0.7	2.8	134.1	1	2.7	11	37.3	2.2	7.3	39.6	1.6	62	30.5	16.7	10.2	5.5	1.8	3.6	1	0.5	0.8	4.5	0.9	4.7	25.9	31.3	0.3	3.9	2.7	7.9	14.2	2.3	40.3	4.7	5.1	1.8	18.1	10	8.5	58.6	5.7	1.9	14.9	18.4	29	6.5	36.2	1502.8
8. Other Utilities	68.7	0.9	0.5	1.2	0.1	8.2	0.5	0	19	15	0.7	3.6	7.5	0.8	5.6	8.1	2.2	3.3	2.4	1	2.6	0.4	21.4	1.2	6.2	1.6	4.2	10.1	28.3	0.4	8.8	1.2	11.3	5.2	3.5	19.7	1.5	4.5	1.5	33	2.2	3.3	94.9	8.1	11.4	13.3	17.1	23.3	4.2	58.9	1050
9. Construction	141.5	20.7	5.9	51.1	112.1	84.5	6.8	16.9	110.4	152.6	8.2	82.6	136.6	27.9	195.7	101.2	55.6	50.3	51.6	30.1	68	10.8	140.1	16.8	0	20	62.5	136.4	447.7	6.4	0	16.2	97.5	76.3	156.3	630.9	49.9	472.4	70.1	855.8	102	71.6	39.4	92.3	57.2	101.2	133.1	141.5	29.6	515.7	30696.3
"10. Food, Beverage and Tobacco Manufacturing"	0	104.2	1.5	5.1	0	0	0	0	0	1987	0.1	0.4	16.7	1.5	1.5	16.4	1.6	0	0	0	0	0	0.2	0	0	0	15	47.2	379.4	2.2	2.3	0	0	0.3	0	0	1.3	0	0	0	3.7	6.1	88.2	0	156.5	136.3	54.9	872.2	0	38.8	11523.7
